iter	Passed	Remaining
719	17413	6771
720	17430	6745
721	17448	6718
722	17465	6691
723	17481	6664
724	17498	6637
725	17516	6610
726	17532	6583
727	17560	6560
728	17578	6534
729	17594	6507
730	17626	6486
731	17650	6462
732	17683	6441
733	17713	6419
734	17746	6398
735	17786	6379
736	17820	6359
737	17852	6338
738	17883	6315
739	17904	6290
740	17929	6266
741	17945	6239
742	17964	6213
743	17987	6189
744	18007	6163
745	18035	6140
746	18056	6115
747	18076	6089
748	18094	6063
749	18129	6043
750	18147	6017
751	18171	5992
752	18218	5976
753	18247	5953
754	18337	5950
755	18410	5942
756	18463	5926
757	18485	5901
758	18505	5875
759	18528	5850
760	18550	5825
761	18570	5800
762	18591	5774
763	18615	5750
764	18638	5725
765	18683	5707
766	18704	5682
767	18725	5656
768	18748	5632
769	18768	5606
770	18828	5592
771	18887	5578
772	19032	5589
773	19122	5583
774	19175	5566
775	19207	5544
776	19227	5518
777	19250	5492
778	19267	5466
779	19284	5439
780	19300	5412
781	19318	5385
782	19336	5358
783	19351	5331
784	19377	5307
785	19408	5284
786	19431	5259
787	19451	5233
788	19478	5209
789	19494	5182
790	19512	5155
791	19531	5129
792	19551	5103
793	19568	5076
794	19583	5049
795	19600	5023
796	19614	4995
797	19636	4970
798	19653	4944
799	19671	4917
800	19687	4891
801	19704	4864
802	19722	4838
803	19739	4812
804	19755	4785
805	19771	4758
806	19788	4732
807	19806	4706
808	19824	4680
809	19839	4653
810	19855	4627
811	19869	4600
812	19885	4573
813	19902	4547
814	19918	4521
815	19934	4495
816	19948	4468
817	19974	4444
818	20011	4422
819	20043	4399
820	20067	4375
821	20097	4352
822	20123	4327
823	20164	4307
824	20231	4291
825	20352	4287
826	20417	4271
827	20457	4249
828	20485	4225
829	20505	4199
830	20527	4174
831	20551	4149
832	20576	4125
833	20598	4099
834	20617	4074
835	20646	4050
836	20669	4025
837	20687	3999
838	20713	3974
839	20739	3950
840	20766	3926
841	20800	3903
842	20843	3881
843	20887	3860
844	20941	3841
845	21096	3840
846	21205	3830
847	21321	3821
848	21393	3804
849	21420	3780
850	21447	3755
851	21472	3730
852	21493	3704
853	21513	3677
854	21532	3651
855	21552	3625
856	21572	3599
857	21590	3573
858	21611	3547
859	21634	3521
860	21652	3495
861	21674	3469
862	21695	3444
863	21717	3418
864	21746	3393
865	21792	3372
866	21818	3347
867	21836	3320
868	21855	3294
869	21874	3268
870	21903	3244
871	21928	3218
872	21944	3192
873	21963	3166
874	21990	3141
875	22019	3116
876	22043	3091
877	22062	3065
878	22080	3039
879	22098	3013
880	22117	2987
881	22139	2961
882	22165	2936
883	22186	2911
884	22217	2886
885	22243	2862
886	22286	2839
887	22395	2824
888	22475	2806
889	22557	2788
890	22641	2769
891	22763	2756
892	22840	2736
893	22912	2716
894	22951	2692
895	23007	2670
896	23055	2647
897	23135	2627
898	23288	2616
899	23325	2591
900	23479	2579
901	23637	2568
902	23684	2544
903	23715	2518
904	23740	2492
905	23777	2467
906	23810	2441
907	23837	2415
908	23858	2388
909	23885	2362
910	23906	2335
911	23938	2309
912	23973	2284
913	24011	2259
914	24080	2236
915	24114	2211
916	24141	2185
917	24173	2159
918	24200	2133
919	24232	2107
920	24262	2081
921	24287	2054
922	24315	2028
923	24344	2002
924	24367	1975
925	24387	1948
926	24408	1922
927	24426	1895
928	24447	1868
929	24473	1842
930	24494	1815
931	24514	1788
932	24533	1761
933	24554	1735
934	24572	1708
935	24595	1681
936	24615	1655
937	24636	1628
938	24657	1601
939	24674	1574
940	24700	1548
941	24727	1522
942	24748	1495
943	24768	1469
944	24792	1442
945	24809	1416
946	24830	1389
947	24851	1363
948	24871	1336
949	24888	1309
950	24915	1283
951	24931	1257
952	24946	1230
953	24975	1204
954	25061	1180
955	25096	1155
956	25117	1128
957	25136	1102
958	25155	1075
959	25177	1049
960	25197	1022
961	25215	996
962	25234	969
963	25248	942
964	25264	916
965	25283	889
966	25309	863
967	25326	837
968	25343	810
969	25371	784
970	25400	758
971	25419	732
972	25455	706
973	25479	680
974	25501	653
975	25523	627
976	25558	601
977	25624	576
978	25672	550
979	25722	524
980	25776	499
981	25844	473
982	25891	447
983	25928	421
984	25956	395
985	25980	368
986	26004	342
987	26033	316
988	26051	289
989	26069	263
990	26087	236
991	26106	210
992	26125	184
993	26142	157
994	26159	131
995	26174	105
996	26195	78
997	26216	52
998	26235	26
999	26255	0
